Runtime,Version,Bug type,Bug title,Bug URL,Submission Date,Resolved Date,Status,Labels,Confirmed
Deno,2.7.12,Cross runtime,spawnSync does not support Node-style FD-indexed stdio inheritance ,https://github.com/denoland/deno/issues/33340,21-04-2026,21-04-2026,Closed as completed,"bug, node compat",✓
Deno,2.7.12,Cross runtime,nats npm package fails under Deno runtime with timeout during connection establishment ,https://github.com/denoland/deno/issues/33343,21-04-2026,21-04-2026,Closed as completed,,✓
Deno,2.7.12,Cross runtime,node:tls server does not correctly negotiate ALPN via ALPNCallback (returns false instead of selected protocol),https://github.com/denoland/deno/issues/33346,21-04-2026,07-05-2026,Open,"bug, node compat",✓
Deno,2.7.12,Cross runtime,Deno node:crypto incompatibility: createPublicKey fails on valid DER SPKI accepted by Node.js,https://github.com/denoland/deno/issues/33347,21-04-2026,09-06-2026,Closed as completed,"bug, node compat",✓
Bun,1.3.13,Regression,node:crypto createPublicKey rejects DER SPKI accepted by Node.js,https://github.com/oven-sh/bun/issues/29558,21-04-2026,,Open,bug,✓
Deno,2.7.12,Cross runtime,"Request.credentials is undefined instead of ""same-origin"" ",https://github.com/denoland/deno/issues/33348,21-04-2026,,Closed as duplicate,,✓
Deno,2.7.12,Cross runtime,node:https: server.addContext is missing on https.createServer() instances,https://github.com/denoland/deno/issues/33357,22-04-2026,22-04-2026,Closed as completed,,✓
Deno,2.7.12,Cross runtime,node:http: crash during WebSocket handshake instead of propagating 401 error (ethers WebSocketProvider),https://github.com/denoland/deno/issues/33358,22-04-2026,22-04-2026,Closed as completed,"bug, node compat",✓
Deno,2.7.12,Cross runtime,node:https: getPeerCertificate() returns empty object despite authorized === true,https://github.com/denoland/deno/issues/33367,22-04-2026,25-04-2026,Closed as completed,,✓
Deno,2.7.12,Cross runtime,node:child_process: fd 3 pipe broken in spawn(),https://github.com/denoland/deno/issues/33368,22-04-2026,,Open,"node compat, bug",✓
Deno,2.7.12,Cross runtime,MessagePort.on('message') does not deduplicate listeners unlike Node.js worker_threads,https://github.com/denoland/deno/issues/33373,22-04-2026,17-05-2026,Closed as completed,node compat,✓
Bun,1.3.13,Regression,Bun crashes when a NAPI module (@roamhq/wrtc via libuv) calls uv_async_init,https://github.com/oven-sh/bun/issues/29609,22-04-2026,22-04-2026,Closed as duplicate,crash,✓
Deno,2.7.12,Cross runtime,process.on('SIGINT') handler receives undefined instead of signal name,https://github.com/denoland/deno/issues/33379,23-04-2026,25-04-2026,Closed as completed,,✓
Deno,2.7.12,Cross runtime,Overriding globalThis.postMessage in Worker causes recursive call stack overflow in Deno Node worker_threads compatibility layer,https://github.com/denoland/deno/issues/33380,23-04-2026,26-04-2026,Closed as completed,,✓
Bun,1.3.13,Regression,z3-solver behavior different from Node,https://github.com/oven-sh/bun/issues/29635,23-04-2026,23-04-2026,Closed as duplicate,,✓
Deno,2.7.12,Cross runtime,Deno structuredClone incorrectly serializes File and Blob as empty objects,https://github.com/denoland/deno/issues/33382,23-04-2026,12-05-2026,Closed as completed,,✓
Bun,1.3.13,Regression,structuredClone returns File and Blob as “detached” objects instead of fully usable clones,https://github.com/oven-sh/bun/issues/29637,23-04-2026,23-04-2026,Closed as completed,,✓
Deno,2.7.12,Cross runtime,node:crypto.publicEncrypt does not validate invalid oaepHash (should throw like Node.js),https://github.com/denoland/deno/issues/33384,23-04-2026,24-04-2026,Closed as completed,,✓
Deno,2.7.12,Cross runtime,node:vm.runInThisContext allows dynamic import() without importModuleDynamically callback ,https://github.com/denoland/deno/issues/33385,23-04-2026,28-05-2026,Closed as completed,"node compat, bug",✓
Deno,2.7.12,Cross runtime,process EPIPE error event not emitted,https://github.com/denoland/deno/issues/33386,23-04-2026,,Open,"node compat, bug",✓
Deno,2.7.12,Cross runtime,"Deno: Request.body.getReader({ mode: ""byob"" }) fails for Node IncomingMessage streams",https://github.com/denoland/deno/issues/33392,23-04-2026,25-04-2026,Closed as completed,,✓
Deno,2.7.12,Cross runtime,fs.watch with recursive: true: inconsistent filename (basename vs relative path),https://github.com/denoland/deno/issues/33419,24-04-2026,25-04-2026,Closed as completed,,✓
Bun,1.3.13,Regression,fs.watch with recursive: true: inconsistent filename (basename vs relative path),https://github.com/oven-sh/bun/issues/29677,24-04-2026,,Open,bug,✓
Deno,2.7.12,Cross runtime,npm:elkjs: Worker instantiation fails in Deno (_Worker is not a constructor) ,https://github.com/denoland/deno/issues/33423,24-04-2026,27-04-2026,Closed as completed,working as designed,
Bun,1.3.14,Cross runtime,"fs.readdir({ withFileTypes: true, encoding: 'buffer' }) returns Uint8Array[] instead of Dirent[]",https://github.com/oven-sh/bun/issues/30482,11-05-2026,,Open,bug,✓
Deno,2.7.14,Cross runtime,"fs.readdir({ withFileTypes: true, encoding: 'buffer' }) returns string names instead of Buffer names",https://github.com/denoland/deno/issues/33957,11-05-2026,13-05-2026,Closed as completed,node compat,✓
Deno,2.7.14,Cross runtime,tls: Server.setTicketKeys not implemented in Deno ,https://github.com/denoland/deno/issues/33963,11-05-2026,,Open,tls,✓
Bun,1.3.14,Cross runtime,tls: Server.setTicketKeys not implemented in Deno ,https://github.com/oven-sh/bun/issues/30502,11-05-2026,,Open,bug,✓
Bun,1.3.14,Cross runtime,Rethrowing inside process.on('uncaughtException') loses original Error stack,https://github.com/oven-sh/bun/issues/30504,11-05-2026,,Open,bug,✓
Deno,2.7.14,Cross runtime,createHistogram missing from node:perf_hooks exports,https://github.com/denoland/deno/issues/34001,12-05-2026,15-05-2026,Closed as completed,,✓
Bun,1.3.14,Cross runtime,process.send() never returns false under IPC backpressure,https://github.com/oven-sh/bun/issues/30569,12-05-2026,,Open,bug,✓
Deno,2.7.14,Cross runtime,"http.ServerResponse emits both ""finish"" and ""close"" after aborted request",https://github.com/denoland/deno/issues/34002,12-05-2026,14-05-2026,Closed as completed,"node:http, bug",✓
Bun,1.3.14,Cross runtime,"http.ServerResponse emits neither ""finish"" nor ""close"" after aborted request ",https://github.com/oven-sh/bun/issues/30571,12-05-2026,,Open,bug,✓
Bun,1.3.14,Cross runtime,domain does not catch exceptions thrown inside setTimeout() callbacks ,https://github.com/oven-sh/bun/issues/30672,14-05-2026,,Open,bug,✓
Deno,2.7.14,Cross runtime,Buffer(number) with large numeric argument causes panic in Deno ,https://github.com/denoland/deno/issues/34043,14-05-2026,17-05-2026,Closed as completed,"node compat, panic",✓
Deno,2.7.14,Cross runtime,WebCrypto P-521 SPKI export incompatible with Node.js for compressed EC keys,https://github.com/denoland/deno/issues/34044,14-05-2026,17-05-2026,Closed as completed,"ext/crypto, bug",
Deno,2.7.14,Cross runtime,child_process.spawnSync() hangs indefinitely when stdout exceeds max buffer,https://github.com/denoland/deno/issues/34045,14-05-2026,08-06-2026,Closed as completed,"node compat, bug",✓
Deno,2.7.14,Cross runtime,HTTP server throughput significantly lower than Node.js under high concurrency load,https://github.com/denoland/deno/issues/34046,14-05-2026,,Open,ext/http,✓
Bun,1.3.14,Cross runtime,async_hooks before() callback does not fire for Promise created before hook enable() ,https://github.com/oven-sh/bun/issues/30687,14-05-2026,,Open,,
Bun,1.3.14,Cross runtime,"net.connect() fails with ""DEFAULT_IPV6_ADDR is not defined"" when using IPv6-mapped IPv4 address",https://github.com/oven-sh/bun/issues/30697,14-05-2026,,Open,bug,✓
Deno,2.7.14,Cross runtime,process.nextTick() ordering differs from Node.js with Promise microtasks and queueMicrotask,https://github.com/denoland/deno/issues/34052,14-05-2026,15-05-2026,Closed as completed,"node compat, bug",✓
Deno,2.7.14,Cross runtime,node:net invalid fd handling triggers panic in signal-hook,https://github.com/denoland/deno/issues/34054,14-05-2026,,Open,"node compat, panic, bug",✓
Node,24.13.1,Regression,net.Socket({ fd }) can abort the Node.js process when iterating invalid file descriptors ,https://github.com/nodejs/node/issues/63308,14-05-2026,,Open,,
Deno,2.7.14,Cross runtime,async_hooks.destroy not emitted after clearImmediate() unlike Node.js,https://github.com/denoland/deno/issues/34079,15-05-2026,15-05-2026,Closed as completed,,✓
Bun,1.3.14,Cross runtime,async_hooks.createHook does not emit lifecycle events in Bun for timers/Immediate,https://github.com/oven-sh/bun/issues/30827,15-05-2026,,Open,bug,✓
Bun,1.3.14,Cross runtime,createECDH('secp256k1') fails in Bun with ERR_CRYPTO_OPERATION_FAILED (works in Node),https://github.com/oven-sh/bun/issues/30830,15-05-2026,16-05-2026,Closed as duplicate,bug,✓
Bun,1.3.14,Cross runtime,"child_process.spawn stdio piping between processes fails in Bun with ""TODO: stream.Readable stdio"" error",https://github.com/oven-sh/bun/issues/30831,15-05-2026,,Open,bug,✓
Bun,1.3.14,Cross runtime,Readable async iterator resolves instead of rejecting when stream.destroy() is called during iteration,https://github.com/oven-sh/bun/issues/30919,17-05-2026,,Open,bug,✓
Deno,2.7.14,Cross runtime,Deno panics when repeatedly creating VM contexts and executing scripts in a loop,https://github.com/denoland/deno/issues/34185,17-05-2026,17-05-2026,Closed as completed,,✓
